iter	Passed	Remaining
0	158	1109978
1	255	892949
2	352	823228
3	456	798213
4	475	664876
5	526	613374
6	632	631913
7	727	636200
8	835	649209
9	934	652961
10	958	609098
11	1099	640022
12	1257	675936
13	1353	675254
14	1386	645755
15	1487	649111
16	1524	626383
17	1616	627114
18	1717	631212
19	1820	635368
20	1917	637366
21	2017	639794
22	2116	642017
23	2215	643923
24	2267	632688
25	2369	635629
26	2451	633051
27	2562	637949
28	2663	640189
29	2682	623161
30	2775	623927
31	2877	626628
32	2997	632895
33	3272	670522
34	3522	700914
35	3736	722882
36	3919	737677
37	4015	735764
38	4117	734835
39	4217	733792
40	4329	734826
41	4439	735394
42	4535	733802
43	4636	732996
44	4738	732425
45	4842	732089
46	4991	738447
47	5138	744217
48	5231	742122
49	5327	740507
50	5425	739274
51	5528	738677
52	5633	738360
53	5735	737818
54	5881	742645
55	5996	743546
56	6114	744831
57	6243	747327
58	6345	746470
59	6444	745385
60	6544	744452
61	6646	743760
62	6747	743004
63	6846	741950
64	6954	741971
65	7049	740595
66	7147	739655
67	7200	734022
68	7306	733956
69	7406	733288
70	7510	732923
71	7631	734277
72	7731	733688
73	7831	732967
74	7939	733058
75	8037	732252
76	8201	737372
77	8309	737388
78	8406	736494
79	8508	736022
80	8609	735435
81	8707	734617
82	8837	736465
83	8947	736707
84	9065	737472
85	9170	737238
86	9298	738878
87	9392	737727
88	9486	736640
89	9590	736364
90	9689	735652
91	9794	735404
92	9891	734664
93	9995	734355
94	10083	732915
95	10184	732445
96	10306	733444
97	10444	735566
98	10544	735037
99	10647	734707
100	10751	734409
101	10847	733621
102	10952	733362
103	11052	732840
104	11146	731966
105	11291	734402
106	11391	733864
107	11489	733195
108	11593	732918
109	11690	732263
110	11794	732005
111	11898	731743
112	12002	731522
113	12096	730674
114	12197	730273
115	12300	729999
116	12389	728872
117	12494	728700
118	12641	730986
119	12785	733035
120	12885	732537
121	13006	733253
122	13107	732870
123	13211	732625
124	13317	732446
125	13413	731772
126	13519	731656
127	13629	731718
128	13727	731166
129	13824	730551
130	13926	730230
131	14040	730543
132	14138	730003
133	14236	729447
134	14381	731327
135	14483	731015
136	14596	731188
137	14687	730354
138	14810	731017
139	14972	733668
140	15076	733398
141	15091	728869
142	15237	730666
143	15398	733149
144	15509	733210
145	15608	732765
146	15705	732194
147	15805	731759
148	15908	731478
149	16015	731365
150	16113	730877
151	16218	730694
152	16375	732812
153	16473	732333
154	16570	731755
155	16662	731012
156	16762	730621
157	16863	730262
158	16961	729791
159	17072	729838
160	17244	732503
161	17351	732396
162	17446	731772
163	17546	731406
164	17653	731283
165	17784	732157
166	17886	731828
167	17986	731443
168	18080	730832
169	18182	730512
170	18279	730023
171	18382	729723
172	18477	729148
173	18579	728855
174	18677	728432
175	18778	728084
176	18879	727754
177	18976	727292
178	19082	727145
179	19178	726637
180	19275	726196
181	19408	727076
182	19538	727838
183	19632	727269
184	19730	726822
185	19855	727389
186	19966	727441
187	20061	726912
188	20177	727147
189	20276	726763
190	20404	727391
191	20513	727368
192	20607	726802
193	20750	727971
